level_indent,unique_key,sd_code,part_no,part_name,process,line_no,supplier,quantity
  1,PN:72308-X7V58,DUM,72308-X7V58,"LINK S/A, FR SEAT W/ADJUSTER, INNER RH",,,,1.0
    2,SHI202,SHI202,72446-X7V17,"LINK, VERTICAL TRAVEL, NO.4",Component,R1,SHIROKI,1.0
    2,MIT222,MIT222,72447-X7V23,"PIN, VERTICAL ADJUSTER, NO.1",Component,R1,THAI MITCHI,1.0
    2,SGB001,SGB001,72478-X7V17,"BUSH, VERTICAL ADJUSTER",Component,R1,SAINT GOBAIN,1.0
    2,PN:73011-X7V41,DUM,73011-X7V41,"BRACKET SUB-ASSY, BELT INNER ANCHOR, RH",,,,1.0
      3,SNA051,SNA051,73191-X7V67,"BRACKET, SEAT BELT INNER ANCHOR, NO.1 RH",Component,R1,SANIA,1.0
      3,TTC775,TTC775,89911-X1043,"BOLT, WELD",Component,R1,V-V,1.0
  1,PN:72308-X7V59,DUM,72308-X7V59,"LINK S/A, FR SEAT W/ADJUSTER, INNER RH",,,,1.0
    2,SNA053,SNA053,72133-X7V43,"BRACKET, FR INN SEAT TRACK UPR RAIL, RH",Component,R1,SANIA,1.0
    2,TTC779,TTC779,72442-X7V28,"LINK, VERTICAL TRAVEL, NO.2",Component,R1,V-V,1.0
    2,MIT222,MIT222,72447-X7V23,"PIN, VERTICAL ADJUSTER, NO.1",Component,R1,THAI MITCHI,1.0
    2,SGB001,SGB001,72478-X7V17,"BUSH, VERTICAL ADJUSTER",Component,R1,SAINT GOBAIN,1.0
    2,SGB004,SGB004,72478-X7V20,"BUSH, VERTICAL ADJUSTER",Component,R1,SAINT GOBAIN,1.0
  1,MIT154,MIT154,72448-X1C01,"PIN, VERTICAL ADJUSTER, NO.2",,,THAI MITCHI,1.0
  1,TFC029,TFC029,72477-X7V27,"SPACER, VERTICAL ADJUSTER",Component,R1,FC-TEC,1.0
  1,SAC012,SAC012,72477-X7V29,"SPACER, VERTICAL ADJUSTER",Component,R1,SANAC,1.0
  1,PN:72505-X7V12,DUM,72505-X7V12,"ARM SUB-ASSY, RECLINING ADJ, LWR INN RH",,,,1.0
    2,SGB005,SGB005,72478-X7V21,"BUSH, VERTICAL ADJUSTER",Component,R1,SAINT GOBAIN,2.0
    2,TPA-06,TPA-06,72521-X7V18,"ARM, RECLINING ADJUSTER, LWR RH",1000T,P01-2,Inhouse(P),1.0
      3,HAN091,HAN091,SPC59-14487,SPC590 1.4 x 487 x P=123,Coil,R4,TTAST,0.6583
      3,SUN002,SUN002,SUNS-484P,SUNPRESS S-484P(200L/1Pail),,,,0.0025
        4,KSP004,KSP004,ELECRON-E,ELECRON ADDITIVE E,Component,R1,THAI KANSAI,0.0004
        4,KSP001,KSP001,ELECRON-F1,ELECRON GT-10LF BLACK F1,Component,R1,THAI KANSAI,0.0012
        4,KSP002,KSP002,ELECRON-F2,ELECRON GT-10LF BLACK F2,Component,R1,THAI KANSAI,0.005
        4,KSP003,KSP003,ELECRON-N1,ELECRON ADDITIVE N1,Component,R1,THAI KANSAI,0.0004
        4,PAR011,PAR011,PALFOS-525TD,PALFOS PF525TD (PF-525TD) (20 Kg./1Can),Component,R1,THAI PARKERIZIING,0.001
          5,ETP-07,ETP-07,72141-X1V08,"BRACKET, FR OUTER SEAT TRACK, LWR FR RH",1000T,Coil,Inhouse(P),1.0
            6,TTC066,TTC066,SPH44-20347,SPH440-OD 2.0 X 347 X C(P=118)/2,Component,R1,TTAST,0.3215
,,,,,,,,0.0013
